,0
0,0.62
1,3.1
2,5.66
3,5.43
4,4.85
5,6.12
6,0.01
7,7.59
8,6.78
9,2.05
10,0.47
11,0.28
12,4.53
13,3.52
14,0.19
15,0.27
16,9.17
17,6.49
18,1.85
19,4.12
20,8.37
21,0.26
22,3.21
23,7.69
24,9.93
25,18.33
26,18.64
27,18.39
28,17.29
29,17.57
30,2.27
31,3.17
32,4.45
33,1.57
34,1.36
35,1.55
36,3.4
37,0.52
38,4.25
39,3.38
40,3.75
41,6.05
42,0.66
43,0
44,8.75
45,3.21
46,1.89
47,11.5
48,3.3
49,10.11
50,4.96
51,9.22
52,4.4
53,11.38
54,2.17
55,3.72
56,9.84
57,2.46
58,7.71
59,9.86
60,5.44
61,9.98
62,2.58
63,9.48
64,0.5
65,5.94
66,4.91
67,5.12
68,5.43
69,3.49
70,3.08
71,3.79
72,3.64
73,3.3
74,4.93
75,5.57
76,3.61
77,7.11
78,4.4
79,4.92
80,0.4
81,0.59
82,9.18
83,6.96
84,9.38
85,5.86
86,5.92
87,9.6
88,2.86
89,3.22
90,7.22
91,8.11
92,8.01
93,3.51
94,4.95
95,6.51
96,3.79
97,2.41
98,6.19
99,0.1
100,7.78
101,3.71
102,7.46
103,0.91
104,9.13
105,5.96
106,5.32
107,1.16
108,6.62
109,0.54
110,7.86
111,6.77
112,9.92
113,5.2
114,6.29
115,7.07
116,11.93
117,10.41
118,11.34
119,11.48
120,9.85
121,6.2
122,11.46
123,11.81
124,6.09
125,11.24
126,6.04
127,7.7
128,9.5
129,8.44
130,15.72
131,2.8
132,21.42
133,2.95
134,4.72
135,26.38
136,12.88
137,12.95
138,18.24
139,27.59
140,11.84
141,25.79
142,3.14
143,29.29
144,29.7
145,7.07
146,5.2
147,0.66
148,10.67
149,2.4
150,5.33
151,7.21
152,1.17
153,2.76
154,1.73
155,6.49
156,4.13
157,1.95
158,2.77
159,10.08
160,28.92
161,12.23
162,8.35
163,8.32
164,2.33
165,0.11
166,10.95
167,6.57
168,1.27
169,1.02
170,2.67
171,7.61
172,16.92
173,2.44
174,28.01
175,15.52
176,26.35
177,2.31
178,22.57
179,14.5
180,14.74
181,7.54
182,2.55
183,10.97
184,20.11
185,9.78
186,1.4
187,9.47
188,6.18
189,2.61
190,10.7
191,7.68
192,5.75
193,7.69
194,6.64
195,11.07
196,4.18
197,10.46
198,4.5
199,9.77
200,6.37
201,8.46
202,8.78
203,9.54
204,5.45
205,2.11
206,5.14
207,2.17
208,5.05
209,3.54
210,5.34
211,4.7
212,5.79
213,5.68
214,5.38
